time,open,high,low,close,volume,timestamp
2018-02-01 12:00:00,9.89670000,10.00280000,8.63000000,9.51380000,1295121.07000000,1517486400000
2018-02-02 00:00:00,9.51380000,9.51380000,7.87800000,7.95590000,1280528.37000000,1517529600000
2018-02-02 12:00:00,7.95610000,10.74900000,7.30000000,9.74840000,2742827.94000000,1517572800000
2018-02-03 00:00:00,9.74850000,9.99000000,8.58180000,9.96060000,1187662.86000000,1517616000000
2018-02-03 12:00:00,9.96060000,10.35400000,9.49990000,9.72520000,1161258.86000000,1517659200000
2018-02-04 00:00:00,9.74970000,9.75270000,8.91190000,8.92100000,873510.27000000,1517702400000
2018-02-04 12:00:00,8.92100000,9.00000000,8.01200000,8.35110000,1142168.50000000,1517745600000
2018-02-05 00:00:00,8.40030000,8.60050000,7.50000000,7.50330000,829225.46000000,1517788800000
2018-02-05 12:00:00,7.50330000,7.95000000,6.08010000,6.73150000,2298572.00000000,1517832000000
2018-02-06 00:00:00,6.72160000,6.98670000,5.52330000,6.35000000,2365280.71000000,1517875200000
2018-02-06 12:00:00,6.34990000,8.60000000,6.20100000,8.26300000,3793615.16000000,1517918400000
2018-02-07 00:00:00,8.25020000,9.10000000,7.28000000,8.83040000,2294569.93000000,1517961600000
2018-02-07 12:00:00,8.83040000,9.23600000,8.00000000,8.06470000,2114722.65000000,1518004800000
2018-02-08 00:00:00,8.09790000,8.38870000,8.00120000,8.27910000,91986.49000000,1518048000000
2018-02-09 00:00:00,8.27910000,9.20000000,8.27900000,8.84300000,523336.75000000,1518134400000
2018-02-09 12:00:00,8.83980000,10.00000000,8.80460000,9.86000000,1883303.60000000,1518177600000
2018-02-10 00:00:00,9.86000000,10.44440000,9.25000000,9.50870000,1842615.28000000,1518220800000
2018-02-10 12:00:00,9.50010000,9.85100000,8.76700000,9.24480000,1506529.42000000,1518264000000
2018-02-11 00:00:00,9.25010000,9.26000000,8.02000000,8.76220000,1547147.83000000,1518307200000
2018-02-11 12:00:00,8.74030000,9.50000000,8.65000000,8.67400000,1474584.65000000,1518350400000
2018-02-12 00:00:00,8.67390000,9.43480000,8.65900000,9.23950000,1113326.38000000,1518393600000
2018-02-12 12:00:00,9.23880000,9.38280000,9.01050000,9.33890000,799136.00000000,1518436800000
2018-02-13 00:00:00,9.33900000,9.36000000,8.73060000,8.89970000,758496.59000000,1518480000000
2018-02-13 12:00:00,8.88530000,9.20000000,8.82990000,9.01600000,607354.37000000,1518523200000
2018-02-14 00:00:00,9.00010000,9.29000000,8.95300000,9.26380000,617685.82000000,1518566400000
2018-02-14 12:00:00,9.26380000,10.65000000,9.24000000,10.40960000,1950491.85000000,1518609600000
2018-02-15 00:00:00,10.40630000,11.29000000,9.97840000,10.61010000,2544067.28000000,1518652800000
2018-02-15 12:00:00,10.62600000,11.22000000,10.42000000,10.86610000,1691953.94000000,1518696000000
2018-02-16 00:00:00,10.87840000,11.08990000,10.30000000,10.61290000,1156216.10000000,1518739200000
2018-02-16 12:00:00,10.61290000,11.25000000,10.56010000,11.25000000,812770.84000000,1518782400000
2018-02-17 00:00:00,11.20540000,11.84610000,10.85000000,11.54250000,1536419.36000000,1518825600000
2018-02-17 12:00:00,11.53630000,11.73510000,11.26300000,11.66000000,742093.84000000,1518868800000
2018-02-18 00:00:00,11.68270000,11.68270000,10.58190000,11.07000000,1310633.64000000,1518912000000
2018-02-18 12:00:00,11.06980000,11.17000000,10.60000000,10.66310000,873276.51000000,1518955200000
2018-02-19 00:00:00,10.66310000,11.15000000,10.53980000,11.12500000,662848.38000000,1518998400000
2018-02-19 12:00:00,11.12500000,11.18990000,10.97040000,11.06010000,673906.65000000,1519041600000
2018-02-20 00:00:00,11.06990000,11.20000000,10.55000000,10.72420000,1200250.20000000,1519084800000
2018-02-20 12:00:00,10.72330000,10.84000000,9.68000000,9.88880000,1157251.28000000,1519128000000
2018-02-21 00:00:00,9.88880000,10.22520000,9.47000000,9.87890000,1223068.64000000,1519171200000
2018-02-21 12:00:00,9.87890000,9.98000000,9.04500000,9.37990000,1054377.29000000,1519214400000
2018-02-22 00:00:00,9.39500000,9.81290000,9.01000000,9.17480000,781379.73000000,1519257600000
2018-02-22 12:00:00,9.17490000,9.22000000,8.62030000,8.86000000,1011399.21000000,1519300800000
2018-02-23 00:00:00,8.84740000,9.37010000,8.60000000,9.32530000,841400.63000000,1519344000000
2018-02-23 12:00:00,9.32220000,9.73010000,9.15410000,9.69300000,780148.86000000,1519387200000
2018-02-24 00:00:00,9.70000000,9.83790000,8.93370000,9.05440000,810346.58000000,1519430400000
2018-02-24 12:00:00,9.02100000,9.18560000,8.69020000,9.08730000,546501.67000000,1519473600000
2018-02-25 00:00:00,9.11610000,9.47000000,9.00000000,9.26700000,483237.10000000,1519516800000
2018-02-25 12:00:00,9.25220000,9.39970000,8.90000000,9.35000000,405735.96000000,1519560000000
2018-02-26 00:00:00,9.36770000,9.40680000,9.09000000,9.35060000,409233.75000000,1519603200000
2018-02-26 12:00:00,9.34990000,10.09990000,9.29300000,9.91990000,856929.30000000,1519646400000
2018-02-27 00:00:00,9.91990000,11.11110000,9.77130000,10.90000000,1505199.16000000,1519689600000
2018-02-27 12:00:00,10.87890000,10.99990000,10.22000000,10.56000000,872026.42000000,1519732800000
2018-02-28 00:00:00,10.56000000,11.17430000,10.34700000,10.53080000,976954.43000000,1519776000000
2018-02-28 12:00:00,10.53800000,10.76700000,10.32950000,10.45360000,633408.64000000,1519819200000
2018-03-01 00:00:00,10.46410000,10.68000000,10.36550000,10.56820000,606955.40000000,1519862400000
2018-03-01 12:00:00,10.56830000,10.61350000,10.32450000,10.47680000,617879.08000000,1519905600000
2018-03-02 00:00:00,10.47150000,10.58500000,10.12800000,10.19260000,506954.08000000,1519948800000
2018-03-02 12:00:00,10.18600000,10.33000000,10.11360000,10.23480000,203244.39000000,1519992000000
2018-03-03 00:00:00,10.23470000,10.46940000,10.20010000,10.30000000,374879.98000000,1520035200000
2018-03-03 12:00:00,10.30000000,10.42000000,10.11710000,10.23990000,261400.83000000,1520078400000
2018-03-04 00:00:00,10.23990000,10.25990000,9.85010000,10.01520000,289443.88000000,1520121600000
2018-03-04 12:00:00,10.01070000,10.42390000,10.00500000,10.41390000,302055.77000000,1520164800000
2018-03-05 00:00:00,10.41390000,10.45330000,10.20160000,10.34700000,269362.55000000,1520208000000
2018-03-05 12:00:00,10.33780000,10.44000000,10.08470000,10.08470000,198027.22000000,1520251200000
2018-03-06 00:00:00,10.08400000,10.13400000,9.52010000,9.59330000,378855.44000000,1520294400000
2018-03-06 12:00:00,9.59320000,9.66980000,9.10250000,9.38990000,561139.26000000,1520337600000
2018-03-07 00:00:00,9.38990000,9.75000000,9.25000000,9.66950000,797716.79000000,1520380800000
2018-03-07 12:00:00,9.66450000,10.21140000,8.11000000,9.04050000,2132914.27000000,1520424000000
2018-03-08 00:00:00,9.04460000,9.19210000,8.20000000,8.69000000,1120816.44000000,1520467200000
2018-03-08 12:00:00,8.68580000,8.70020000,8.02110000,8.27030000,757861.18000000,1520510400000
2018-03-09 00:00:00,8.27030000,8.31000000,7.06000000,7.59940000,1040274.38000000,1520553600000
2018-03-09 12:00:00,7.59940000,8.34210000,7.37040000,8.28070000,909338.29000000,1520596800000
2018-03-10 00:00:00,8.29510000,8.34980000,7.95000000,8.20420000,840361.52000000,1520640000000
2018-03-10 12:00:00,8.20950000,8.28400000,7.55530000,7.65000000,1373031.87000000,1520683200000
2018-03-11 00:00:00,7.65000000,7.95000000,7.20000000,7.93100000,724724.29000000,1520726400000
2018-03-11 12:00:00,7.92860000,8.42300000,7.81020000,8.26800000,1935925.56000000,1520769600000
2018-03-12 00:00:00,8.26790000,8.49880000,8.12860000,8.48580000,1448890.17000000,1520812800000
2018-03-12 12:00:00,8.48670000,8.49000000,7.66000000,8.03400000,1080969.50000000,1520856000000
2018-03-13 00:00:00,8.02040000,8.28880000,7.80550000,8.00990000,1444541.13000000,1520899200000
2018-03-13 12:00:00,8.01460000,11.00000000,7.83080000,10.21880000,5783323.43000000,1520942400000
2018-03-14 00:00:00,10.19990000,10.67530000,9.51440000,9.57860000,3016736.15000000,1520985600000
2018-03-14 12:00:00,9.57850000,9.75800000,8.50000000,8.92430000,2137398.47000000,1521028800000
2018-03-15 00:00:00,8.91500000,9.44860000,8.30000000,9.22020000,1986195.37000000,1521072000000
2018-03-15 12:00:00,9.22020000,9.33000000,8.67040000,9.10470000,2288163.40000000,1521115200000
2018-03-16 00:00:00,9.10740000,9.18760000,8.55000000,9.06150000,1636382.30000000,1521158400000
2018-03-16 12:00:00,9.06160000,9.38000000,8.87120000,9.06450000,2410046.93000000,1521201600000
2018-03-17 00:00:00,9.10430000,9.46980000,8.94830000,9.39790000,1649947.57000000,1521244800000
2018-03-17 12:00:00,9.39790000,9.47100000,8.62450000,8.92310000,2301251.70000000,1521288000000
2018-03-18 00:00:00,8.92560000,8.95600000,8.20000000,8.44450000,1506445.41000000,1521331200000
2018-03-18 12:00:00,8.43980000,8.98000000,7.80000000,8.96480000,2453135.88000000,1521374400000
2018-03-19 00:00:00,8.96640000,9.40000000,8.45000000,8.75510000,2057401.81000000,1521417600000
